0.3215163846,0.4678785559,0.27777777777777773,64,64,64,80,"5447;POR;DOID:11054,DOID:0050687,DOID:9574,DOID:3996,DOID:2277,DOID:4,DOID:2256,DOID:9286,DOID:1443,DOID:10426,DOID:0060038,DOID:14566,DOID:3069,DOID:331,DOID:9370,DOID:13620,DOID:0050739,DOID:1492,DOID:3765,DOID:9598,DOID:0060467,DOID:5614,DOID:3891,DOID:3068,DOID:3146,DOID:11175,DOID:14159,DOID:0110111,DOID:1682,DOID:13938,DOID:0060037,DOID:0050177,DOID:0110109,DOID:11971,DOID:12215,DOID:28,DOID:974,DOID:0110114,DOID:0050686,DOID:8927,DOID:630,DOID:229,DOID:17,DOID:0050815,DOID:0080005,DOID:114,DOID:0080010,DOID:2825,DOID:0080015,DOID:0110112,DOID:0110106,DOID:1681,DOID:14524,DOID:0050155,DOID:655,DOID:0110113,DOID:1573,DOID:936,DOID:1701,DOID:0050462,DOID:10908,DOID:0080001,DOID:0080006,DOID:65,DOID:9827,DOID:225,DOID:0110107,DOID:6682,DOID:780,DOID:1287,DOID:1579,DOID:7327,DOID:15,DOID:0110110,DOID:11476,DOID:863,DOID:11612,DOID:3763,DOID:1882,DOID:2163,DOID:0080011,DOID:0014667,DOID:0050811,DOID:11383,DOID:345,DOID:341,DOID:178,DOID:0050737,DOID:1923,DOID:7,DOID:930,DOID:0110108,DOID:3070,DOID:13994,DOID:150,DOID:1059,DOID:162,DOID:1934,DOID:2340,DOID:3071"
0.5830788411,0.4493593694,0.0,64,64,64,80,11140;CDC37;N
0.3957604382,0.5169652673,0.0,64,64,64,80,140545;RNF32;N
0.4039193774,0.5177277837,0.0,64,64,64,80,9545;RAB3D;N
0.3899411791,0.5102816216,0.0,64,64,64,80,22983;MAST1;N
0.3710412907,0.1391293815,0.1087962962962963,0,171,255,140,"6776;STAT5A;DOID:0050687,DOID:305,DOID:0050938,DOID:0060084,DOID:0060085,DOID:299,DOID:4,DOID:5093,DOID:4903,DOID:0050686,DOID:3393,DOID:0060072,DOID:178,DOID:1287,DOID:3457,DOID:0050621,DOID:14566,DOID:0050828,DOID:7,DOID:3007,DOID:4929,DOID:3683,DOID:3459,DOID:657,DOID:162,DOID:5675,DOID:1612"
0.4942565081,0.5229291834,0.2013888888888889,64,64,64,80,"10617;STAMBP;DOID:0060260,DOID:11870,DOID:0050701,DOID:5691,DOID:0110111,DOID:1682,DOID:574,DOID:4,DOID:870,DOID:0110109,DOID:1891,DOID:2490,DOID:345,DOID:1443,DOID:0060261,DOID:11832,DOID:225,DOID:0110107,DOID:308,DOID:1657,DOID:0110213,DOID:0050836,DOID:0110114,DOID:780,DOID:529,DOID:229,DOID:1826,DOID:680,DOID:1287,DOID:10003,DOID:480,DOID:331,DOID:7,DOID:15,DOID:13620,DOID:2952,DOID:0110110,DOID:0050841,DOID:1393,DOID:0050706,DOID:674,DOID:5656,DOID:1492,DOID:114,DOID:863,DOID:10652,DOID:543,DOID:891,DOID:0110108,DOID:0080015,DOID:0110112,DOID:5723,DOID:5614,DOID:3891,DOID:0110106,DOID:1681,DOID:3535,DOID:1882,DOID:0050155,DOID:0110113,DOID:10907,DOID:2742,DOID:14525,DOID:0050702,DOID:936,DOID:1289,DOID:0050567"
0.347997492,0.4631744764,0.18518518518518517,0,171,255,140,"1565;CYP2D6;DOID:10132,DOID:1561,DOID:11870,DOID:0110039,DOID:0050701,DOID:0110047,DOID:2744,DOID:0110043,DOID:4,DOID:12139,DOID:1596,DOID:1443,DOID:0050705,DOID:225,DOID:5093,DOID:14330,DOID:557,DOID:0110048,DOID:0050686,DOID:1063,DOID:13868,DOID:11400,DOID:1826,DOID:680,DOID:1470,DOID:0110046,DOID:2030,DOID:14566,DOID:5419,DOID:302,DOID:331,DOID:480,DOID:10952,DOID:7,DOID:7725,DOID:3324,DOID:679,DOID:0110041,DOID:303,DOID:4964,DOID:0060043,DOID:10652,DOID:863,DOID:2468,DOID:0110035,DOID:0110037,DOID:543,DOID:0110038,DOID:0050890,DOID:1595,DOID:0110045,DOID:150,DOID:2848,DOID:14525,DOID:18,DOID:936,DOID:162,DOID:0110044,DOID:1289,DOID:1612"
0.3405057137,0.5358740833,0.0,64,64,64,80,51295;ECSIT;N
0.3272164777,0.4964454311,0.07638888888888888,64,64,64,80,"1562;CYP2C18;DOID:3071,DOID:3069,DOID:3068,DOID:10283,DOID:0050687,DOID:0050686,DOID:10286,DOID:162,DOID:4,DOID:3856,DOID:3070,DOID:14566,DOID:193"
0.3404737641,0.4877997887,0.11805555555555555,64,64,64,80,"1557;CYP2C19;DOID:1561,DOID:1100,DOID:10286,DOID:4,DOID:12139,DOID:1596,DOID:557,DOID:0050686,DOID:229,DOID:1287,DOID:1470,DOID:1074,DOID:2030,DOID:14566,DOID:302,DOID:7,DOID:15,DOID:3324,DOID:784,DOID:303,DOID:4964,DOID:114,DOID:193,DOID:1595,DOID:10283,DOID:150,DOID:2848,DOID:18,DOID:162,DOID:5426,DOID:3856"
0.3127736204,0.4969328298,0.10185185185185185,64,64,64,80,"1576;CYP3A4;DOID:1561,DOID:934,DOID:10286,DOID:4,DOID:1596,DOID:5093,DOID:0050686,DOID:0060100,DOID:5419,DOID:14566,DOID:3376,DOID:201,DOID:3324,DOID:2468,DOID:193,DOID:1883,DOID:3347,DOID:10283,DOID:0050117,DOID:184,DOID:150,DOID:162,DOID:3856,DOID:1612"
0.1272271643,0.6150668618,0.057870370370370364,64,64,64,80,"976;ADGRE5;DOID:7,DOID:0050161,DOID:850,DOID:4,DOID:1579"
0.2661660553,0.6584851347,0.07638888888888888,64,64,64,80,"10452;TOMM40;DOID:1596,DOID:1561,DOID:11328,DOID:3324,DOID:5418,DOID:4964,DOID:150,DOID:2848,DOID:2468,DOID:4,DOID:1470,DOID:2030,DOID:1595"
0.8038558583,0.3031626036,0.13657407407407407,64,64,64,80,"10133;OPTN;DOID:1561,DOID:0060203,DOID:0080001,DOID:1070,DOID:4,DOID:12139,DOID:423,DOID:1596,DOID:65,DOID:14320,DOID:0080000,DOID:318,DOID:319,DOID:1470,DOID:17,DOID:2030,DOID:1686,DOID:331,DOID:5408,DOID:7,DOID:66,DOID:3324,DOID:0080005,DOID:4964,DOID:1492,DOID:863,DOID:332,DOID:9835,DOID:1067,DOID:1595,DOID:5614,DOID:767,DOID:0050155,DOID:205,DOID:150,DOID:2848,DOID:11830,DOID:1289,DOID:231"
0.4283629399,0.5247883469,0.06481481481481481,64,64,64,80,"4218;RAB8A;DOID:65,DOID:7,DOID:7148,DOID:0080001,DOID:3342,DOID:4,DOID:17,DOID:848"
