locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
YCL012C,YCL012C,1,350,NE,Nonessential
YCL014W,BUD3,1,350,NE,Nonessential
YCL016C,DCC1,1,350,NE,Nonessential
YCL017C,NFS1,1,350,E,Essential
YCL019W,YCL019W,1,350,NE,Nonessential
YCL020W,YCL020W,1,350,NE,Nonessential
YCL021W-A,YCL021W-A,1,350,NE,Nonessential
YCL024W,KCC4,1,350,NE,Nonessential
YCL025C,AGP1,1,350,NE,Nonessential
YCL026C-A,FRM2,1,350,NE,Nonessential
YCL026C-B,HBN1,1,350,NE,Nonessential
YCL027W,FUS1,1,350,NE,Nonessential
YCL028W,RNQ1,1,350,NE,Nonessential
YCL029C,BIK1,1,350,NE,Nonessential
YCL030C,HIS4,1,350,NE,Nonessential
YCL031C,RRP7,1,350,E,Essential
YCL032W,STE50,1,350,NE,Nonessential
YCL033C,MXR2,1,350,NE,Nonessential
YCL034W,LSB5,1,350,NE,Nonessential
YCL035C,GRX1,1,350,NE,Nonessential
YCL036W,GFD2,1,350,NE,Nonessential
YCL037C,SRO9,1,350,NE,Nonessential
YCL038C,ATG22,1,350,NE,Nonessential
YCL039W,GID7,1,350,NE,Nonessential
YCL040W,GLK1,1,350,NE,Nonessential
YCL042W,YCL042W,1,350,NE,Nonessential
YCL043C,PDI1,1,350,E,Essential
YCL044C,MGR1,1,350,NE,Nonessential
YCL045C,EMC1,1,350,NE,Nonessential
YCL047C,YCL047C,1,350,NE,Nonessential
YCL048W,SPS22,1,350,NE,Nonessential
YCL049C,YCL049C,1,350,NE,Nonessential
YCL050C,APA1,1,350,NE,Nonessential
YCL051W,LRE1,1,350,NE,Nonessential
YCL052C,PBN1,1,350,E,Essential
YCL054W,SPB1,1,350,E,Essential
YCL055W,KAR4,1,350,NE,Nonessential
YCL056C,YCL056C,1,350,NE,Nonessential
YCL057C-A,YCL057C-A,1,350,NE,Nonessential
YCL057W,PRD1,1,350,NE,Nonessential
YCL058C,FYV5,1,350,NE,Nonessential
YCL059C,KRR1,1,350,E,Essential
YCL061C,MRC1,1,350,NE,Nonessential
YCL063W,VAC17,1,350,NE,Nonessential
YCL064C,CHA1,1,350,NE,Nonessential
YCL069W,VBA3,1,350,NE,Nonessential
YCR002C,CDC10,1,350,NE,Nonessential
YCR003W,MRPL32,1,350,NE,Nonessential
YCR004C,YCP4,1,350,NE,Nonessential
YCR005C,CIT2,1,350,NE,Nonessential
YCR007C,YCR007C,1,350,NE,Nonessential
YCR008W,SAT4,1,350,NE,Nonessential
YCR009C,RVS161,1,350,NE,Nonessential
YCR010C,ADY2,1,350,NE,Nonessential
YCR011C,ADP1,1,350,NE,Nonessential
YCR012W,PGK1,1,350,E,Essential
YCR014C,POL4,1,350,NE,Nonessential
YCR015C,YCR015C,1,350,NE,Nonessential
YCR016W,YCR016W,1,350,NE,Nonessential
YCR017C,CWH43,1,350,NE,Nonessential
YCR019W,MAK32,1,350,NE,Nonessential
YCR020C,PET18,1,350,NE,Nonessential
YCR020C-A,MAK31,1,350,NE,Nonessential
YCR020W-B,HTL1,1,350,NE,Nonessential
YCR021C,HSP30,1,350,NE,Nonessential
YCR023C,YCR023C,1,350,NE,Nonessential
YCR024C,SLM5,1,350,NE,Nonessential
